Date,Irritation (0-10),Closeness (1-10),Razor,Blade,Use,Preshave,Soap,Post-shave,Brush,Passes,Water (1-5),Nicks/Burn,Bow Lather,Notes,Notes (add.)
10/28/2020,1.5,7.5,Rockwell 6S (R3),Feather,1,Proraso White,PAA - Porthos,"PAA - Porthos, Zingari Man",PAA Amber Aerolite,"WTG, XATG, ATG",3.5,,1,,
10/29/2020,3.5,9,Merkur 23C,Gillette Rubie,2,Proraso White,B&M - Lavender,"Proraso Red, DSC",PAA Amber Aerolite,"WTG, XATG, ATG",3.5,,,"Thin dissipating lather at third pass. Otherwise, excellent!",
10/30/2020,1.5,6.5,EJ 3One6,Astra SP,1,Proraso White,Zingari Man - Magician,"Proraso Green, DSC",Maggards,2--2--2,3.5,,,"Feather-light touch, no touch-ups, only two passes",
11/1/2020,4,9.2,EJ 3One6,Astra SP,2,Proraso White,PAA - Copalli,"PAA - Copalli, Zingari Man",Maggards,"WTG, XATG, ATG",3.5,,,Excellent lather,
11/2/2020,3.5,8,Merkur 23C,Gillette Rubie,3,Proraso White,Archaic - Mictlan,", Zingari Man",Maggards,"WTG, XATG, ATG",3.5,,,,
11/3/2020,1.5,7,Merkur 23C,Treet Silver,1,Proraso White,A&E - L'Orange Verte,"Proraso Red, Zingari Man",Maggards,3--3--2,3.5,,,,
11/4/2020,3,9,EJ 3One6,Gillette 7 O'Clock SS,1,Proraso White,B&M - Lavender,", Proraso White",Maggards,"WTG, XATG, ATG",3.5,,,2nd pass had thin lather. Need to lather this soap in a bowl to achieve consistency,
11/5/2020,5,8.5,EJ 3One6,Lord Platinum,1,Proraso White,PAA - Porthos,"PAA Porthos, Zingari Man",Maggards,3--3--2,3.5,,,,
11/6/2020,5,9,EJ 3One6,Lord Platinum,2,Proraso White,A&E - Vanille de Tabac,"Clubman Vanilla, Zingari Man",Maggards,"WTG, XATG, ATG",3,,,,
11/7/2020,5,8.5,Merkur 23C,Feather,2,Proraso White,B&M - Tuesday,", Proraso White",PAA Amber Aerolite,"WTG, XATG, ATG",4,,1,,Small sample
11/8/2020,1,8.5,EJ 3One6,Gillette 7 O'Clock SS,1,Proraso White,A&E - Vanille de Tabac,"Fine Platinum, DSC","APShaveco, Synbad","2--2--1, touch-ups",3.5,,,,
11/9/2020,3,8.5,EJ 3One6,Gillette 7 O'Clock SS,2,Proraso White,TOBS - Court Hairdressers,"Pinaud Clubman, Zingari Man","APShaveco, Synbad","2--2--1, touch-ups",3,,,,
11/10/2020,1,8.5,Merkur 23C,Gillette 7 O'Clock Platinum,1,Proraso White,NO - Rawr,", Proraso White","APShaveco, Synbad",3--3--1,3.5,,,Superlative lather,
11/11/2020,2,8.5,Merkur 23C,Gillette 7 O'Clock Platinum,3,Proraso White,Zingari Man - Magician,", Zingari Man","APShaveco, Synbad","WTG, XATG, ATG",3.5,,,,
11/12/2020,3,9.2,EJ 3One6,Gillette 7 O'Clock SS,1,Proraso White,B&M - Lavender,"Cannonball SBS, DSC","APShaveco, Synbad","WTG, XATG, ATG",3.5,,1,"Too much water, had to add more product",
11/13/2020,1,8.8,Merkur 23C,Treet Platinum,1,Proraso White,Stirling - Sandpiper,"Stirling Sandpiper, Zingari Man",Maggards,"WTG, XATG, ATG",4,,1,Superlative lather,
11/14/2020,2,8.5,Merkur 23C,Treet Platinum,1,Proraso White,Archaic - Archaic,"Proraso Green, Zingari Man","APShaveco, Synbad","WTG, XATG, ATG",2.5,,,Lather wasn't super slick,
11/15/2020,3,9.3,EJ 3One6,Gillette 7 O'Clock SS,2,Proraso White,Stirling - Sandpiper,"Stirling Sandpiper, Zingari Man",Maggards,"WTG, XATG, ATG",4,,,,
11/16/2020,1.5,9,Merkur 23C,Treet Platinum,2,Proraso White,NO - Rawr,"Fine Platinum, Zingari Man","APShaveco, Synbad","WTG, XATG, ATG",3.5,,,Extremely smooth shave,
11/17/2020,1.5,9,Merkur 23C,Treet Platinum,1,Proraso White,A&E - Vanille de Tabac,", Proraso White","APShaveco, Synbad","WTG, XATG, ATG",3.5,,,,
11/18/2020,1.5,9,Merkur 23C,Treet Platinum,2,Proraso White,A&E - L'Orange Verte,"Fine Platinum, Zingari Man","APShaveco, Synbad","WTG, XATG, ATG",3.5,,1,,
